self-learning capability?,Extra-courses did,Taken inputs from seniors or elders,Management or Technical,hard/smart worker,worked in teams ever?,Introvert,Suggested Job Role,Technical Score,Communication Score,Learning Score,Professional Score,Leadership Score,Personality Score,Career Readiness,Book_Category,Certification_Category,Workshop_Category,Subject_Category,Career_Area,Company_Category
0,0,0,0,1,1,0,3,21,5,0,26,2,6,9.950000000000001,1,1,3,0,0,0
0,0,1,1,1,0,0,3,13,7,1,21,1,8,7.300000000000001,6,4,3,3,1,1
0,1,1,1,0,0,0,3,11,13,2,26,1,14,8.200000000000001,1,4,1,3,3,0
0,1,1,0,0,1,1,3,16,8,2,26,2,8,9.100000000000001,1,3,1,4,3,1
0,0,1,0,0,0,0,3,7,11,1,19,1,12,5.900000000000001,1,2,2,3,3,0
0,1,0,0,1,0,0,3,4,11,1,16,1,12,4.7,2,2,2,0,3,0
1,1,0,0,0,0,1,3,8,7,2,17,1,7,5.500000000000001,3,3,0,3,0,3
1,1,0,0,1,1,1,3,13,6,2,21,2,6,7.4,3,2,3,0,2,4
0,1,1,0,1,1,0,3,7,5,2,14,2,6,4.750000000000001,2,3,0,4,3,4
1,1,0,0,1,1,1,3,12,8,2,22,2,8,7.500000000000001,6,3,2,0,2,4
0,1,0,1,1,0,0,3,17,9,1,27,1,10,9.4,5,3,0,1,1,3
1,1,1,1,1,1,0,3,10,6,3,19,2,7,6.3999999999999995,3,2,1,1,3,4
0,0,1,0,0,1,1,3,16,11,1,28,2,11,9.65,3,0,1,2,0,3
0,0,0,0,1,0,0,3,15,5,0,20,1,6,7.4,5,2,1,4,3,3
0,1,0,1,0,0,0,3,21,7,1,29,1,8,10.5,2,3,2,2,0,0
1,1,0,0,0,1,1,3,15,12,2,29,2,12,9.700000000000001,2,3,1,2,3,2
1,1,1,1,1,0,0,3,14,12,3,29,1,13,9.350000000000001,5,3,1,2,3,4
0,1,0,0,1,1,0,3,14,11,1,26,2,12,8.850000000000001,6,3,1,4,3,0
0,1,1,0,0,1,1,3,17,11,2,30,2,11,10.250000000000002,6,0,2,3,1,0
0,0,0,0,1,0,0,3,11,15,0,26,1,16,8.3,5,2,2,0,3,3
1,0,1,1,1,0,1,3,9,11,2,22,1,11,6.9,3,1,3,2,3,3
1,1,1,0,1,1,1,3,4,11,3,18,2,11,5.249999999999999,0,0,2,1,2,3
0,1,1,0,0,1,1,3,15,6,2,23,2,6,8.200000000000001,2,3,1,1,1,1
0,0,0,0,1,0,1,3,13,11,0,24,1,11,8.1,2,2,1,4,0,1
0,0,0,0,0,0,1,3,11,5,0,16,1,5,5.800000000000001,0,4,2,4,0,0
0,1,1,1,0,0,0,3,17,11,2,30,1,12,10.100000000000001,1,1,3,1,3,4
1,0,0,1,0,1,0,3,16,7,1,24,2,8,8.65,6,3,3,4,1,0
0,0,0,1,1,1,1,3,14,12,0,26,2,12,8.900000000000002,3,2,1,0,2,2
0,1,0,1,0,1,0,3,10,9,1,20,2,10,6.75,0,4,2,2,1,0
0,1,1,0,1,1,1,3,14,6,2,22,2,6,7.800000000000001,5,2,3,0,3,2
1,1,1,0,0,1,0,3,12,7,3,22,2,8,7.45,6,0,3,1,0,1
1,0,0,1,1,1,0,3,17,8,1,26,2,9,9.3,5,3,0,4,2,0
1,0,1,0,0,0,1,3,16,9,2,27,1,9,9.200000000000001,5,3,3,2,1,0
0,0,1,1,1,1,0,3,11,14,1,26,2,15,8.4,0,3,0,1,3,0
0,0,1,0,0,1,0,3,11,5,1,17,2,6,6.15,5,3,1,4,3,2
1,0,0,0,0,1,0,3,9,6,1,16,2,7,5.6,1,1,0,1,3,0
0,0,0,1,1,0,1,3,6,12,0,18,1,12,5.550000000000001,3,3,3,4,3,0
1,1,0,0,0,1,0,3,19,8,2,29,2,9,10.300000000000002,1,2,3,4,3,0
0,0,0,0,1,1,0,3,15,9,0,24,2,10,8.55,0,3,1,4,3,0
1,0,1,0,0,0,0,3,10,14,2,26,1,15,8.05,0,3,1,0,3,4
1,1,1,1,0,1,0,3,16,6,3,25,2,7,8.8,3,2,2,0,3,3
1,1,1,1,1,1,0,3,13,13,3,29,2,14,9.35,1,2,3,0,2,3
1,1,1,0,1,1,0,3,12,7,3,22,2,8,7.45,1,1,0,4,3,3
0,1,0,1,0,0,0,3,6,10,1,17,1,11,5.250000000000001,1,3,0,4,3,4
1,0,0,1,1,1,0,3,9,13,1,23,2,14,7.35,0,3,0,4,3,1
0,1,1,1,1,0,1,3,11,13,2,26,1,13,8.200000000000001,1,3,2,0,2,3
0,1,0,1,1,0,0,3,18,6,1,25,1,7,9.049999999999999,1,2,1,1,2,3
0,1,1,1,0,0,0,3,17,6,2,25,1,7,8.850000000000001,6,0,2,1,3,3
0,1,0,1,1,1,0,3,12,8,1,21,2,9,7.300000000000001,3,3,3,1,3,1
0,1,0,1,1,0,0,3,15,5,1,21,1,6,7.6000000000000005,2,4,2,4,3,4
0,1,0,0,1,0,0,3,15,10,1,26,1,11,8.85,3,3,2,2,3,4
1,1,1,1,1,0,0,3,9,11,3,23,1,12,7.1,6,0,1,4,1,1
1,0,1,0,1,1,1,3,3,5,2,10,2,5,3.15,6,3,2,1,3,4
1,1,1,0,1,1,1,3,15,6,3,24,2,6,8.4,5,1,3,2,1,0
0,1,0,0,0,1,0,3,10,10,1,21,2,11,7.0,2,2,3,4,1,0
1,1,1,1,1,1,1,3,14,8,3,25,2,8,8.500000000000002,2,3,1,1,0,3
1,0,1,0,1,0,0,3,12,11,2,25,1,12,8.100000000000001,1,2,1,2,2,4
0,0,0,1,1,1,0,3,16,5,0,21,2,6,7.95,0,0,0,3,3,0
1,0,1,1,1,1,1,3,7,6,2,15,2,6,5.000000000000001,1,4,0,4,0,0
1,1,1,0,0,0,1,3,11,7,3,21,1,7,6.9,4,3,0,1,1,4
1,1,1,1,1,1,0,3,21,13,3,37,2,14,12.55,5,2,1,4,2,0
0,0,0,0,0,0,1,3,16,8,0,24,1,8,8.55,1,3,0,0,2,3
1,0,1,1,1,0,1,3,21,9,2,32,1,9,11.200000000000001,3,3,2,1,1,0
0,0,0,0,0,1,0,3,15,11,0,26,2,12,9.05,0,3,3,1,1,3
0,0,1,0,1,0,1,3,8,7,1,16,1,7,5.300000000000001,3,3,0,1,2,4
0,1,0,0,0,1,0,3,14,13,1,28,2,14,9.350000000000001,0,1,2,3,1,3
0,0,0,0,0,0,0,3,19,14,0,33,1,15,11.250000000000002,0,1,1,0,0,0
0,0,1,0,1,1,1,3,14,13,1,28,2,13,9.350000000000001,0,2,3,1,0,4
1,1,0,0,0,1,1,3,9,11,2,22,2,11,7.05,2,3,3,2,2,3
0,0,0,1,1,0,0,3,13,5,0,18,1,6,6.6000000000000005,1,3,0,0,0,1
0,0,0,1,1,0,1,3,8,8,0,16,1,8,5.3500000000000005,4,0,0,4,3,1
1,0,0,0,1,0,0,3,11,9,1,21,1,10,7.000000000000001,3,3,0,2,3,2
0,0,1,1,1,1,0,3,8,13,1,22,2,14,6.95,3,1,1,1,0,4
1,1,0,1,0,0,1,3,12,13,2,27,1,13,8.600000000000001,6,3,0,4,3,3
0,0,0,1,1,1,0,3,14,4,0,18,2,5,6.9,3,3,0,0,0,4
1,1,0,0,1,0,0,3,15,5,2,22,1,6,7.800000000000001,3,2,2,4,3,1
1,0,0,1,0,0,0,3,11,8,1,20,1,9,6.750000000000001,2,4,1,4,3,0
0,1,0,0,0,1,0,3,11,11,1,23,2,12,7.65,0,3,2,0,1,1
1,1,0,1,0,0,1,3,14,12,2,28,1,12,9.150000000000002,3,3,2,1,3,1
0,0,0,1,0,0,1,3,9,8,0,17,1,8,5.75,5,3,2,0,2,1
0,1,1,1,1,0,0,3,12,10,2,24,1,11,7.850000000000001,0,0,3,4,1,0
0,0,0,1,0,0,0,3,19,9,0,28,1,10,10.000000000000002,2,3,0,0,2,3
1,1,1,0,1,0,1,3,21,8,3,32,1,8,11.15,2,3,1,4,3,3
0,1,1,0,0,1,1,3,18,7,2,27,2,7,9.65,0,3,0,1,3,0
0,0,0,0,1,0,1,3,3,10,0,13,1,10,3.85,3,2,1,1,1,3
0,1,1,0,1,0,1,3,16,7,2,25,1,7,8.700000000000001,2,2,2,0,3,1
0,1,0,1,0,0,0,3,17,14,1,32,1,15,10.65,6,3,3,1,3,1
1,1,1,0,1,0,0,3,12,8,3,23,1,9,7.550000000000001,2,3,3,2,3,0
0,1,0,1,1,1,0,3,14,6,1,21,2,7,7.6000000000000005,1,3,3,4,3,3
1,0,1,1,0,0,1,3,5,6,2,13,1,6,4.05,3,0,2,0,3,0
1,1,0,1,1,1,1,3,13,9,2,24,2,9,8.15,6,0,0,1,3,3
0,0,1,1,0,0,0,3,15,10,1,26,1,11,8.85,5,3,0,4,3,4
0,0,0,1,1,0,1,3,12,4,0,16,1,4,5.950000000000001,1,3,2,0,0,1
0,0,1,0,0,0,1,3,15,10,1,26,1,10,8.85,3,1,3,0,2,4
0,1,0,0,1,0,1,3,17,11,1,29,1,11,9.9,2,0,1,4,1,3
0,1,1,1,0,0,0,3,18,12,2,32,1,13,10.75,5,3,0,4,3,0
1,0,0,1,0,0,1,3,13,9,1,23,1,9,7.800000000000001,0,3,3,1,1,0
0,1,1,1,1,1,1,3,17,10,2,29,2,10,10.000000000000002,0,0,0,0,3,0
0,1,0,1,0,1,0,3,15,4,1,20,2,5,7.5,0,3,0,2,0,2
1,1,0,0,1,1,0,3,15,13,2,30,2,14,9.950000000000001,6,3,3,1,3,0
1,1,0,0,1,1,0,3,15,8,2,25,2,9,8.700000000000001,1,2,1,0,0,3
0,0,1,1,1,1,0,3,9,9,1,19,2,10,6.35,2,3,2,4,3,0
0,0,1,0,0,0,1,3,15,14,1,30,1,14,9.85,1,1,3,3,0,1
0,0,1,1,0,0,1,3,14,10,1,25,1,10,8.450000000000001,5,1,1,1,1,0
1,0,0,0,1,0,1,3,13,8,1,22,1,8,7.550000000000001,5,3,2,1,3,4
1,0,1,0,0,1,0,3,7,3,2,12,2,4,4.25,3,3,1,4,3,0
0,0,1,0,1,1,1,3,14,4,1,19,2,4,7.1000000000000005,2,2,0,0,0,2
0,1,0,0,1,0,1,3,14,6,1,21,1,6,7.450000000000001,0,4,1,4,2,0
0,1,1,0,0,0,0,3,15,8,2,25,1,9,8.55,2,2,0,4,3,2
0,0,1,0,0,1,0,3,11,6,1,18,2,7,6.4,1,3,3,0,3,4
0,0,0,0,0,1,0,3,10,11,0,21,2,12,7.05,5,3,0,2,3,3
1,0,1,1,0,0,0,3,12,13,2,27,1,14,8.600000000000001,5,3,2,0,3,3
1,0,0,0,0,1,1,3,17,11,1,29,2,11,10.05,1,2,3,4,1,0
0,1,1,1,1,1,0,3,24,6,2,32,2,7,11.800000000000002,0,3,0,4,3,1
1,0,0,1,0,0,0,3,15,12,1,28,1,13,9.35,1,1,3,4,1,0
1,1,0,0,0,0,1,3,14,8,2,24,1,8,8.15,1,1,0,1,2,2
1,0,1,1,0,0,1,3,7,7,2,16,1,7,5.100000000000001,1,3,3,0,3,0
0,0,0,0,1,1,0,3,18,6,0,24,2,7,9.0,1,1,2,1,0,4
1,0,1,0,1,1,1,3,12,6,2,20,2,6,7.000000000000001,6,2,3,0,0,0
0,0,1,1,0,1,0,3,16,5,1,22,2,6,8.15,6,1,0,0,3,2
1,0,0,1,0,1,0,3,24,10,1,35,2,11,12.600000000000001,5,2,3,4,2,0
1,0,0,0,1,0,0,3,13,12,1,26,1,13,8.549999999999999,2,1,0,1,3,0
1,0,1,1,0,1,1,3,19,11,2,32,2,11,11.050000000000002,0,2,2,4,3,1
1,0,1,1,1,0,0,3,13,13,2,28,1,14,9.0,6,3,3,3,3,4
0,1,1,0,1,0,0,3,11,10,2,23,1,11,7.450000000000001,1,0,3,1,3,1
0,1,0,0,0,1,1,3,14,12,1,27,2,12,9.100000000000001,0,3,1,1,1,1
0,1,1,1,1,1,1,3,9,11,2,22,2,11,7.05,5,4,2,1,3,0
0,1,0,1,1,1,0,3,6,11,1,18,2,12,5.65,2,1,3,4,1,4
0,0,0,1,0,1,0,3,15,11,0,26,2,12,9.05,5,2,3,0,3,1
1,1,0,1,0,1,1,3,17,7,2,26,2,7,9.250000000000002,3,2,0,3,3,3
1,0,1,0,0,1,0,3,21,8,2,31,2,9,11.100000000000001,0,0,2,1,3,3
0,1,0,1,1,1,0,3,14,10,1,25,2,11,8.600000000000001,1,3,3,4,3,3
1,1,0,1,0,0,0,3,9,8,2,19,1,9,6.15,6,0,1,4,3,1
1,1,1,1,0,0,1,3,4,7,3,14,1,7,4.1000000000000005,1,2,1,0,3,4
1,1,0,0,1,0,0,3,8,7,2,17,1,8,5.500000000000001,1,3,0,4,3,0
0,0,1,1,1,0,1,3,13,11,1,25,1,11,8.3,1,1,2,1,1,3
1,0,1,1,1,1,0,3,14,7,2,23,2,8,8.05,1,3,2,4,2,1
0,0,0,0,1,0,1,3,13,14,0,27,1,14,8.85,5,2,3,4,1,0
0,0,0,1,0,1,0,3,10,5,0,15,2,6,5.55,6,0,1,1,3,1
0,1,1,1,1,0,0,3,15,7,2,24,1,8,8.3,1,4,1,4,1,4
1,1,1,1,1,1,0,3,10,9,3,22,2,10,7.1499999999999995,1,3,0,1,3,4
1,0,0,1,0,0,1,3,5,6,1,12,1,6,3.85,3,3,3,1,3,1
1,1,0,0,1,1,0,3,9,8,2,19,2,9,6.3,3,3,1,4,0,0
1,0,0,0,1,1,1,3,13,9,1,23,2,9,7.95,5,1,1,1,3,3
1,1,1,1,1,1,1,3,12,15,3,30,2,15,9.450000000000001,5,3,0,2,0,1
1,0,0,0,0,1,1,3,15,5,1,21,2,5,7.75,5,3,3,0,1,0
0,0,1,0,0,1,1,3,13,8,1,22,2,8,7.7,0,2,2,0,3,0
1,0,0,0,0,0,0,3,11,7,1,19,1,8,6.500000000000001,6,3,1,3,3,2
0,1,0,0,1,1,1,3,12,9,1,22,2,9,7.550000000000001,6,2,3,1,3,2
1,0,0,1,1,0,0,3,8,6,1,15,1,7,5.050000000000001,5,0,2,2,3,4
1,1,1,0,0,0,0,3,13,7,3,23,1,8,7.700000000000001,5,2,0,4,3,2
1,0,1,1,0,1,1,3,16,13,2,31,2,13,10.350000000000001,2,2,0,1,2,4
0,0,1,0,1,0,0,3,17,9,1,27,1,10,9.4,2,4,3,1,3,4
1,1,0,0,0,0,1,3,14,14,2,30,1,14,9.650000000000002,3,3,2,0,3,2
0,0,1,0,0,1,1,3,8,7,1,16,2,7,5.45,3,3,0,1,1,4
0,1,1,0,0,0,0,3,15,10,2,27,1,11,9.05,1,0,3,1,3,0
1,1,0,1,0,0,1,3,13,14,2,29,1,14,9.25,2,0,2,1,0,3
1,1,0,0,1,1,1,3,12,11,2,25,2,11,8.250000000000002,0,3,1,2,3,0
1,0,0,1,0,0,1,3,19,12,1,32,1,12,10.950000000000001,6,3,0,2,3,0
0,1,0,1,0,0,1,3,23,12,1,36,1,12,12.55,0,2,1,1,3,0
0,1,0,0,1,0,1,3,20,11,1,32,1,11,11.1,0,3,1,4,3,4
0,0,1,0,0,0,0,3,6,12,1,19,1,13,5.750000000000001,0,2,2,1,3,1
1,0,1,1,1,0,1,3,14,6,2,22,1,6,7.650000000000001,5,2,0,3,0,4
1,1,0,0,1,0,1,3,11,7,2,20,1,7,6.700000000000001,3,3,3,1,2,1
1,0,1,0,1,0,1,3,12,14,2,28,1,14,8.850000000000001,1,3,2,4,1,4
0,0,1,1,1,1,1,3,14,7,1,22,2,7,7.8500000000000005,1,4,3,0,3,1
1,1,0,1,1,0,1,3,14,10,2,26,1,10,8.650000000000002,3,3,2,1,3,0
0,1,0,0,0,0,0,3,13,6,1,20,1,7,7.050000000000001,5,2,1,4,3,0
0,0,0,0,1,0,1,3,10,11,0,21,1,11,6.9,3,3,0,4,0,2
1,0,1,1,1,1,1,3,15,7,2,24,2,7,8.450000000000001,5,3,2,2,0,1
1,1,1,1,0,0,0,3,17,6,3,26,1,7,9.05,1,3,2,3,2,0
1,1,1,0,0,0,1,3,7,10,3,20,1,10,6.050000000000001,6,0,3,1,1,3
1,1,0,0,0,1,1,3,15,10,2,27,2,10,9.200000000000001,2,2,3,0,2,0
0,1,0,1,0,1,1,3,13,8,1,22,2,8,7.7,0,3,0,0,3,0
1,0,0,0,1,1,0,3,5,11,1,17,2,12,5.25,6,0,3,2,2,0
1,1,0,0,1,0,1,3,17,13,2,32,1,13,10.600000000000001,4,4,0,1,1,4
1,0,1,0,0,1,1,3,18,9,2,29,2,9,10.15,1,3,0,2,3,3
0,1,0,0,1,0,0,3,13,13,1,27,1,14,8.799999999999999,1,3,3,4,2,3
1,1,1,1,0,1,0,3,14,5,3,22,2,6,7.750000000000001,0,0,1,0,3,1
1,1,0,0,1,0,1,3,15,3,2,20,1,3,7.300000000000001,6,3,2,0,3,2
1,1,1,1,1,1,1,3,20,6,3,29,2,6,10.4,3,2,1,1,1,0
1,1,0,1,1,0,0,3,8,13,2,23,1,14,7.000000000000001,3,3,3,0,1,2
0,0,1,0,1,0,0,3,11,13,1,25,1,14,8.0,1,4,2,3,1,4
1,0,1,0,1,0,1,3,11,10,2,23,1,10,7.450000000000001,1,3,0,3,0,3
1,0,1,1,1,0,1,3,10,5,2,17,1,5,5.800000000000001,2,3,1,1,3,1
0,1,0,1,0,1,0,3,11,10,1,22,2,11,7.4,5,0,1,1,3,3
1,1,1,1,1,0,1,3,6,12,3,21,1,12,6.15,0,2,3,1,1,4
0,0,0,1,1,0,1,3,13,12,0,25,1,12,8.35,6,2,2,3,3,0
0,1,0,0,1,1,0,3,8,14,1,23,2,15,7.2,1,3,3,4,1,4
1,1,0,0,1,0,1,3,13,6,2,21,1,6,7.250000000000001,4,3,2,0,0,0
0,0,0,0,1,0,1,3,8,8,0,16,1,8,5.3500000000000005,1,4,2,2,3,4
1,1,0,1,1,1,1,3,9,7,2,18,2,7,6.05,1,2,0,0,0,4
0,0,1,1,0,1,1,3,16,12,1,29,2,12,9.9,2,3,0,0,1,1
1,0,1,0,1,0,1,3,12,6,2,20,1,6,6.850000000000001,4,0,1,4,3,1
1,0,1,0,0,0,0,3,19,5,2,26,1,6,9.400000000000002,0,0,3,0,1,1
1,1,0,0,0,0,1,3,13,13,2,28,1,13,9.0,3,2,3,0,3,4
0,0,0,0,1,1,0,3,8,10,0,18,2,11,6.0,1,1,2,2,2,1
0,0,0,0,1,0,0,3,9,13,0,22,1,14,7.0,5,3,3,1,0,2
1,1,1,0,1,1,0,3,17,9,3,29,2,10,9.950000000000001,1,3,2,0,2,2
1,0,1,0,0,1,1,3,6,7,2,15,2,7,4.8500000000000005,1,3,2,3,0,0
1,0,1,1,0,0,0,3,12,5,2,19,1,6,6.600000000000001,6,3,1,2,2,1
0,0,0,0,0,0,0,3,14,5,0,19,1,6,7.000000000000001,1,3,2,4,3,3
1,1,0,1,0,0,0,3,18,12,2,32,1,13,10.75,2,3,2,1,3,2
1,1,0,0,1,1,1,3,12,10,2,24,2,10,8.000000000000002,3,3,1,1,0,1
0,0,1,0,1,1,0,3,10,13,1,24,2,14,7.75,5,0,2,4,0,1
0,0,1,1,1,0,1,3,20,9,1,30,1,9,10.6,1,3,2,0,1,4
0,1,0,1,1,1,1,3,8,13,1,22,2,13,6.95,3,3,1,4,2,3
0,0,0,0,1,0,1,3,11,7,0,18,1,7,6.300000000000001,1,2,2,4,1,4
0,0,0,1,0,1,1,3,19,7,0,26,2,7,9.650000000000002,0,2,3,0,3,3
1,1,0,0,1,0,0,3,7,12,2,21,1,13,6.350000000000001,1,1,3,2,3,0
0,1,1,1,0,0,1,3,9,12,2,23,1,12,7.15,0,1,3,4,2,3
0,0,0,0,1,1,1,3,21,12,0,33,2,12,11.700000000000001,1,4,2,0,3,3
1,0,1,1,0,1,0,3,14,8,2,24,2,9,8.3,3,2,0,4,1,0
1,0,0,1,1,0,1,3,10,12,1,23,1,12,7.3500000000000005,6,0,2,1,1,0
0,1,1,1,0,0,0,3,3,7,2,12,1,8,3.5,1,0,0,4,3,4
1,1,1,1,1,0,1,3,10,13,3,26,1,13,8.0,5,1,0,1,3,0
0,1,0,0,0,0,0,3,15,12,1,28,1,13,9.35,5,3,2,1,3,4
1,0,0,0,0,1,1,3,18,10,1,29,2,10,10.2,0,3,0,0,3,0
1,1,0,0,0,0,0,3,10,5,2,17,1,6,5.800000000000001,4,1,1,1,3,0
0,1,0,1,1,1,1,3,10,8,1,19,2,8,6.5,0,3,0,1,3,0
0,1,1,0,0,1,0,3,16,8,2,26,2,9,9.100000000000001,5,4,1,3,0,0
1,1,1,0,0,0,1,3,19,5,3,27,1,5,9.600000000000001,5,1,3,3,2,0
1,1,1,0,1,1,1,3,9,9,3,21,2,9,6.749999999999999,5,3,2,2,3,4
1,0,0,1,1,1,0,3,15,13,1,29,2,14,9.75,4,2,2,1,1,1
0,0,1,0,1,1,0,3,6,8,1,15,2,9,4.9,0,0,3,4,3,4
1,1,0,1,0,0,1,3,13,8,2,23,1,8,7.750000000000001,4,2,3,1,3,1
0,1,0,1,1,0,0,3,10,9,1,20,1,10,6.6000000000000005,6,3,0,0,3,2
1,0,1,0,1,0,0,3,15,5,2,22,1,6,7.800000000000001,6,3,2,0,1,1
1,0,0,0,1,1,1,3,15,6,1,22,2,6,8.0,1,3,3,1,2,1
1,0,0,0,0,0,1,3,9,14,1,24,1,14,7.45,5,2,3,1,0,0
1,1,1,1,0,0,1,3,13,7,3,23,1,7,7.700000000000001,6,2,2,2,0,3
1,1,1,1,0,0,0,3,17,7,3,27,1,8,9.3,1,3,1,4,2,3
1,0,0,1,1,0,0,3,10,10,1,21,1,11,6.8500000000000005,2,3,3,1,3,0
1,0,0,0,1,0,1,3,7,11,1,19,1,11,5.900000000000001,1,1,3,4,3,0
1,1,0,1,0,1,0,3,12,6,2,20,2,7,7.000000000000001,6,2,1,4,2,0
0,1,0,1,1,1,1,3,16,9,1,26,2,9,9.15,5,3,0,4,1,3
1,1,0,0,1,0,1,3,12,4,2,18,1,4,6.350000000000001,0,4,2,1,0,0
1,0,0,1,1,1,0,3,19,9,1,29,2,10,10.350000000000001,6,4,3,1,1,3
1,0,1,0,1,1,1,3,20,12,2,34,2,12,11.700000000000001,1,2,2,1,0,1
1,1,0,0,1,1,0,3,7,14,2,23,2,15,7.000000000000001,1,0,1,4,2,0
1,1,0,1,1,1,1,3,15,8,2,25,2,8,8.700000000000001,6,2,3,0,3,0
1,1,1,1,1,0,0,3,14,4,3,21,1,5,7.350000000000001,1,4,0,1,3,4
0,1,1,1,0,0,1,3,19,11,2,32,1,11,10.900000000000002,0,0,1,4,3,0
1,0,1,0,0,0,1,3,12,13,2,27,1,13,8.600000000000001,5,2,0,0,0,0
1,1,1,0,1,0,0,3,9,5,3,17,1,6,5.6,0,4,3,4,2,3
1,1,1,0,0,1,0,3,16,13,3,32,2,14,10.55,5,4,0,4,1,4
0,1,1,1,1,1,1,3,3,13,2,18,2,13,5.15,3,4,0,1,3,1
1,0,0,1,0,0,1,3,12,10,1,23,1,10,7.650000000000001,0,3,0,4,3,4
0,1,0,0,1,1,1,3,12,5,1,18,2,5,6.550000000000001,5,3,2,4,3,0
0,1,0,0,1,1,0,3,17,5,1,23,2,6,8.55,2,3,1,1,2,2
0,0,0,1,0,0,1,3,11,13,0,24,1,13,7.800000000000001,6,4,2,1,3,0
0,0,0,1,1,0,0,3,14,6,0,20,1,7,7.250000000000001,5,2,2,1,0,1
0,1,0,0,1,0,0,3,14,13,1,28,1,14,9.200000000000001,2,3,2,3,0,0
0,0,1,1,0,0,1,3,11,13,1,25,1,13,8.0,3,0,1,4,3,4
0,1,0,1,0,1,1,3,13,11,1,25,2,11,8.450000000000001,5,3,1,2,3,0
1,0,0,0,0,0,0,3,15,10,1,26,1,11,8.85,5,4,3,1,3,0
1,1,0,0,1,1,1,3,8,13,2,23,2,13,7.15,3,0,2,0,1,1
1,1,1,0,0,0,1,3,9,8,3,20,1,8,6.35,1,2,1,4,1,0
1,1,1,0,0,1,0,3,17,5,3,25,2,6,8.950000000000001,1,3,3,1,0,0
0,1,0,1,1,0,0,3,17,12,1,30,1,13,10.15,5,4,0,1,1,2
1,1,1,1,0,0,1,3,12,14,3,29,1,14,9.05,1,2,3,0,2,3
0,1,1,1,1,1,0,3,14,8,2,24,2,9,8.3,3,3,2,4,1,2
0,1,0,1,0,1,1,3,6,6,1,13,2,6,4.4,3,3,0,4,3,0
0,0,0,1,1,0,1,3,12,6,0,18,1,6,6.450000000000001,5,0,0,4,3,1
0,0,1,0,1,0,1,3,4,7,1,12,1,7,3.7,0,0,3,0,3,2
1,0,1,0,0,0,0,3,14,3,2,19,1,4,6.900000000000001,4,2,3,4,3,0
0,0,1,0,0,1,1,3,10,4,1,15,2,4,5.5,2,3,3,4,3,4
1,0,0,0,1,0,0,3,13,12,1,26,1,13,8.549999999999999,0,0,0,4,3,0
0,1,0,1,0,1,1,3,8,11,1,20,2,11,6.45,3,2,1,0,3,0
1,1,0,1,1,1,0,3,14,8,2,24,2,9,8.3,2,1,2,0,3,1
0,1,0,1,0,0,0,3,6,11,1,18,1,12,5.500000000000001,4,0,0,0,0,4
0,0,1,1,0,1,1,3,14,5,1,20,2,5,7.3500000000000005,0,1,2,1,1,4
0,1,0,1,1,1,1,3,16,6,1,23,2,6,8.4,6,3,3,0,3,4
1,0,1,0,0,0,1,3,13,10,2,25,1,10,8.25,2,2,3,0,1,0
1,1,0,0,1,1,0,3,8,11,2,21,2,12,6.65,3,2,1,1,3,0
0,1,1,1,1,0,1,3,12,8,2,22,1,8,7.350000000000001,6,0,1,1,0,4
1,0,0,1,1,0,1,3,17,14,1,32,1,14,10.65,5,3,2,0,0,4
0,0,1,0,0,1,1,3,16,6,1,23,2,6,8.4,3,2,3,2,0,1
0,0,1,1,0,1,1,3,7,7,1,15,2,7,5.050000000000001,0,3,1,4,0,1
1,1,1,0,0,1,0,3,16,10,3,29,2,11,9.8,0,2,3,0,3,2
0,0,0,1,0,1,0,3,21,12,0,33,2,13,11.700000000000001,2,0,0,1,0,2
0,1,0,0,0,0,1,3,10,5,1,16,1,5,5.6000000000000005,3,1,1,4,0,0
1,0,1,0,1,0,0,3,12,10,2,24,1,11,7.850000000000001,5,1,3,2,3,3
1,0,1,0,0,1,1,3,21,6,2,29,2,6,10.600000000000001,1,2,2,4,1,1
1,0,1,0,0,0,1,3,17,9,2,28,1,9,9.600000000000001,0,3,3,3,2,0
0,0,1,0,0,1,1,3,11,12,1,24,2,12,7.9,6,4,3,0,3,1
0,1,1,1,0,1,1,3,6,7,2,15,2,7,4.8500000000000005,0,4,3,4,3,0
1,0,1,1,0,0,0,3,15,8,2,25,1,9,8.55,3,3,3,2,0,4
1,0,0,1,0,1,1,3,16,10,1,27,2,10,9.4,6,4,0,1,3,0
0,0,0,1,1,1,0,3,9,9,0,18,2,10,6.1499999999999995,1,2,2,4,2,2
0,1,1,1,1,0,0,3,4,5,2,11,1,6,3.4,0,1,1,3,2,3
0,1,1,1,0,1,0,3,17,14,2,33,2,15,11.000000000000002,5,1,0,4,2,2
0,1,0,0,1,1,0,3,10,12,1,23,2,13,7.5,5,2,2,4,3,3
0,0,0,1,0,1,1,3,16,8,0,24,2,8,8.700000000000001,3,3,2,1,3,1
1,0,0,1,0,1,0,3,8,15,1,24,2,16,7.45,1,4,3,4,1,3
1,0,1,1,0,1,1,3,19,7,2,28,2,7,10.050000000000002,0,3,2,1,3,4
0,0,1,0,0,1,1,3,14,12,1,27,2,12,9.100000000000001,1,2,1,4,0,4
1,1,1,0,0,0,1,3,11,8,3,22,1,8,7.15,3,4,3,1,2,1
0,0,1,0,0,0,0,3,13,10,1,24,1,11,8.05,5,0,3,1,0,2
0,0,0,0,1,1,1,3,5,6,0,11,2,6,3.8,4,3,2,0,1,2
